Run,TotalCompleted,TotalRejected,TotalProducts,AvgWaitingTime,FaultyRate,SupplierOccupancy,WS0_Occupancy,WS0_Downtime,WS1_Occupancy,WS1_Downtime,WS2_Occupancy,WS2_Downtime,WS3_Occupancy,WS3_Downtime,WS4_Occupancy,WS4_Downtime,WS5_Occupancy,WS5_Downtime
1,1176,52,1228,2278.46,4.23,3.33,100.02,15.67,99.75,3.6,98.69,39.88,50.96,38.93,47.24,26.94,97.28,43.84
2,1159,66,1225,2240.35,5.39,3.2,99.98,28.07,99.27,13.98,98.24,21.54,48.02,72.34,49.49,26.46,97.1,46.79
3,1178,47,1225,2290.13,3.84,3.27,100.0,0.33,98.47,17.6,98.17,35.71,50.29,30.51,49.38,15.05,98.07,118.49
4,1166,54,1220,2240.43,4.43,3.08,99.98,28.37,99.08,14.72,96.82,43.29,47.26,42.1,50.48,20.12,97.6,27.89
5,1170,56,1226,2281.02,4.57,3.2,99.99,11.68,99.01,2.33,98.69,26.06,48.47,75.09,48.61,26.37,96.86,46.15
6,1158,62,1220,2293.16,5.08,3.27,100.03,18.25,99.07,19.9,97.46,48.02,49.51,50.81,50.11,18.66,98.91,29.11
7,1168,60,1228,2274.75,4.89,3.18,100.02,27.88,99.57,20.43,98.63,34.37,49.11,100.03,49.32,23.3,98.59,23.74
8,1166,61,1227,2265.3,4.97,3.2,100.05,3.53,98.86,8.32,98.45,63.71,51.22,66.3,46.46,26.52,98.08,58.99
9,1166,58,1224,2297.31,4.74,3.27,100.02,25.01,99.35,0.0,99.75,22.04,47.72,27.94,50.81,43.9,97.76,46.35
10,1153,56,1209,2319.0,4.63,3.32,100.06,7.97,99.64,2.38,98.34,27.95,46.53,77.2,51.65,23.36,97.65,48.7
11,1153,63,1216,2336.02,5.18,3.21,100.05,2.33,98.92,7.64,97.75,33.5,49.54,45.98,47.6,21.03,97.94,70.22
12,1169,58,1227,2300.74,4.73,3.27,100.01,30.88,99.97,0.08,98.82,43.57,50.33,62.5,48.84,14.28,97.74,44.21
13,1167,67,1234,2263.79,5.43,3.21,100.04,8.3,99.18,3.29,98.18,31.88,50.9,29.26,48.25,33.59,97.96,30.68
14,1145,73,1218,2317.85,5.99,3.31,100.0,12.68,99.09,5.85,98.59,20.17,47.58,69.48,50.82,40.98,98.28,34.63
15,1151,67,1218,2268.61,5.5,3.14,100.0,18.45,98.19,9.96,98.91,43.2,48.45,35.28,48.0,25.96,97.16,72.1
16,1160,55,1215,2312.94,4.53,3.2,100.0,10.98,98.75,2.81,99.18,12.53,48.49,36.09,48.65,19.59,97.8,46.19
17,1165,63,1228,2290.63,5.13,3.32,100.01,4.46,98.88,2.29,98.21,19.79,48.27,50.65,50.71,31.69,99.38,70.15
18,1154,71,1225,2335.51,5.8,3.22,100.01,12.16,99.83,17.71,98.69,47.88,49.86,38.4,48.65,27.52,98.28,19.24
19,1159,67,1226,2289.74,5.46,3.28,100.05,14.71,99.13,8.82,98.73,58.28,47.4,72.49,51.39,53.81,98.02,28.72
20,1164,59,1223,2314.51,4.82,3.35,100.08,14.97,99.72,7.05,98.18,22.53,49.53,60.15,48.89,47.9,97.38,53.91
21,1170,62,1232,2279.48,5.03,3.35,100.01,33.66,99.75,3.8,99.07,31.27,48.86,69.88,49.58,16.05,98.54,61.26
22,1169,57,1226,2350.33,4.65,3.27,100.01,20.66,99.5,4.42,99.57,52.16,50.19,38.94,47.94,37.19,98.0,32.82
23,1157,61,1218,2315.33,5.01,3.22,100.09,6.35,99.28,15.42,98.62,31.62,46.54,54.78,51.74,29.56,97.35,60.76
24,1169,51,1220,2317.75,4.18,3.25,100.03,25.15,99.59,8.31,97.96,13.33,49.1,39.69,48.64,20.76,96.78,46.66
25,1155,70,1225,2283.13,5.71,3.3,100.04,6.9,99.16,13.85,99.34,28.97,48.76,70.78,49.16,14.73,98.15,39.75
26,1172,53,1225,2274.76,4.33,3.28,99.98,13.33,98.17,0.0,99.32,54.7,50.16,65.97,49.7,34.92,97.88,48.91
